agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect2m_rbd|nalu_mate2m_rbd|prom_lect2m_rbd|prom_mate2m_rbd|dif_lect2m_rbd|dif_mate2m_rbd|difgru_lect2m_rbd|difgru_mate2m_rbd|sigdif_lect2m_rbd|sigdif_mate2m_rbd|siggru_lect2m_rbd|siggru_mate2m_rbd|marca_lect2m_rbd|marca_mate2m_rbd|marcadif_lect2m_rbd|marcadif_mate2m_rbd|palu_eda_ins_lect2m_rbd|palu_eda_ele_lect2m_rbd|palu_eda_ade_lect2m_rbd|palu_eda_ins_mate2m_rbd|palu_eda_ele_mate2m_rbd|palu_eda_ade_mate2m_rbd|noaplica|fecha_bbdd|codigo_bbdd
2022|2m|568|1|COLEGIO SAN ANTONIO|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|3|2|3|1|39|38|267|277|-1|-12|16|19|0|0|1|1|||||23.1|46.2|30.8|36.8|39.5|23.7|0|20231017|final20231017v2
2022|2m|5697|9|ESCUELA PARTICULAR LAS AMERICAS|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|1|1|20|23|216|212|0|0|-6|-12|0|0|0|0|||3|3|75|15|10|82.6|17.4|0|0|20231017|final20231017v2
2022|2m|570|3|COLEGIO ELENA BETTINI|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|3|2|3|1|37|35|266|291|-5|2|15|33|0|0|1|1|||||32.4|40.5|27|14.3|60|25.7|0|20231017|final20231017v2
2022|2m|5703|7|LICEO BICENTENARIO DE EXCELENCIA TECNICO PROFESIONAL CEN|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|1|1|26|30|219|238|-22|19|-3|14|-1|0|0|1|||||84.6|7.7|7.7|60|36.7|3.3|0|20231017|final20231017v2
2022|2m|5713|4|COLEGIO PARTICULAR I. CULTURA BRITANICA|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|2|1|37|38|238|232|7|8|4|-6|0|0|0|0|||||54.1|43.2|2.7|71.1|23.7|5.3|0|20231017|final20231017v2
2022|2m|5720|7|COLEGIO ÑIELOL CHE KIMUN|9|DE LA ARAUCANÍA|91|CAUTÍN|9112|PADRE LAS CASAS|93|Cautin S|3|2|1|2|32|34|207|204|-11|-18|-15|-20|0|0|-1|-1|||||81.3|15.6|3.1|88.2|11.8|0|0|20231017|final20231017v2
2022|2m|5729|0|LICEO TÉCNICO FEMENINO SANTA CRUZ ÑIELOL|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|2|1|13|13|240|237|3|32|6|-1|0|0|0|0|||||46.2|38.5|15.4|69.2|30.8|0|0|20231017|final20231017v2
2022|2m|573|8|ESCUELA PARTICULAR TERESA VIDELA DE G|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|3|2|4|1|68|69|278|280|-10|-30|16|2|0|-1|1|0|||||25|39.7|35.3|26.1|55.1|18.8|0|20231017|final20231017v2
2022|2m|574|6|ESCUELA INDUSTRIAL SALESIANA SAN RAMON|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|3|2|2|1|177|180|221|230|4|1|-13|-8|0|0|-1|-1|||||71.8|21.5|6.8|67.2|26.7|6.1|0|20231017|final20231017v2
2022|2m|575|4|COLEGIO PROVIDENCIA|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|3|2|2|1|159|155|234|222|-22|-11|0|-16|-1|0|0|-1|||||65.4|23.3|11.3|74.2|22.6|3.2|0|20231017|final20231017v2
